iter	Passed	Remaining
0	194	194252
1	248	123819
2	436	145100
3	473	117977
4	668	132974
5	743	123134
6	948	134559
7	1137	141106
8	1186	130645
9	1257	124450
10	1457	131069
11	1509	124267
12	1707	129600
13	1912	134708
14	2107	138383
15	2296	141221
16	2488	143889
17	2685	146502
18	2889	149179
19	3088	151314
20	3142	146508
21	3215	142954
22	3410	144856
23	3609	146777
24	3805	148417
25	4010	150254
26	4271	153942
27	4320	149979
28	4514	151158
29	4745	153434
30	4954	154855
31	5028	152122
32	5230	153272
33	5448	154813
34	5661	156084
35	5860	156925
36	6094	158617
37	6315	159888
