iter	Accuracy	Logloss
0	0.8423153693	0.6503750921
1	0.8622754491	0.6110769793
2	0.8662674651	0.5753724485
3	0.8592814371	0.5459086709
4	0.8592814371	0.5195847928
5	0.8672654691	0.4998307219
6	0.8652694611	0.4773946979
7	0.869261477	0.4619062656
8	0.869261477	0.4477107796
9	0.875249501	0.4339796969
10	0.873253493	0.4207142965
11	0.869261477	0.4141265808
12	0.870259481	0.4062905074
13	0.870259481	0.3957426638
14	0.8682634731	0.392639282
15	0.870259481	0.383876595
16	0.873253493	0.3737236525
17	0.878243513	0.3669461005
18	0.873253493	0.359468106
19	0.871257485	0.3536217969
20	0.871257485	0.3481931401
21	0.872255489	0.3428599649
22	0.874251497	0.3375112568
23	0.875249501	0.3348231515
24	0.877245509	0.3287595646
25	0.878243513	0.3229693262
26	0.879241517	0.3187476366
27	0.879241517	0.3142033499
28	0.881237525	0.310623839
29	0.878243513	0.3074413916
30	0.878243513	0.3052995267
31	0.877245509	0.3040113011
32	0.880239521	0.3014811442
33	0.880239521	0.2987965719
34	0.881237525	0.2967482394
35	0.881237525	0.2951553558
36	0.8822355289	0.2936182993
37	0.880239521	0.2907065812
38	0.880239521	0.2880568818
39	0.8822355289	0.2849283732
40	0.881237525	0.2838324815
41	0.8822355289	0.2824255054
42	0.8842315369	0.2801658341
43	0.8832335329	0.2788037207
44	0.8842315369	0.27669015
45	0.8822355289	0.2758203381
46	0.8832335329	0.2753823408
47	0.8882235529	0.2725084499
48	0.8882235529	0.269275414
49	0.8882235529	0.2677293119
50	0.8882235529	0.2673348067
51	0.8882235529	0.2651342518
52	0.8892215569	0.2638308588
53	0.8892215569	0.2630328333
54	0.8912175649	0.2613060013
55	0.8912175649	0.2605774779
56	0.8962075848	0.2582744058
57	0.8962075848	0.2576157499
58	0.9011976048	0.253474877
59	0.9001996008	0.2522480521
60	0.9021956088	0.2501958668
61	0.9041916168	0.2468865979
62	0.9051896208	0.2460313138
63	0.9061876248	0.2450090663
64	0.9041916168	0.2445317495
65	0.9081836327	0.2413235053
66	0.9091816367	0.2394125933
67	0.9091816367	0.2392112747
68	0.9081836327	0.2382716866
69	0.9081836327	0.2359292036
70	0.9091816367	0.2352792279
71	0.9101796407	0.2331903728
72	0.9101796407	0.2329447855
73	0.9121756487	0.2312231007
74	0.9131736527	0.2285411477
75	0.9161676647	0.2270737608
76	0.9161676647	0.2246904202
77	0.9191616766	0.2233160327
78	0.9191616766	0.2220986037
79	0.9221556886	0.2208194999
80	0.9231536926	0.2196504818
81	0.9241516966	0.2188481618
82	0.9251497006	0.2177000065
83	0.9241516966	0.2162304115
84	0.9241516966	0.2153889852
85	0.9241516966	0.2140812522
86	0.9251497006	0.2134090279
87	0.9261477046	0.2121651472
88	0.9281437126	0.2093143425
89	0.9321357285	0.2082311512
90	0.9321357285	0.2067875967
91	0.9341317365	0.2062201586
92	0.9341317365	0.205589264
93	0.9341317365	0.2049026642
94	0.9361277445	0.2028229613
