iter	Accuracy	Logloss
0	0.8371907422	0.649714562
1	0.839584996	0.6144771591
2	0.8467677574	0.5760962752
3	0.8547486034	0.5405186244
4	0.8555466879	0.5096010785
5	0.8579409417	0.4874647039
6	0.8563447725	0.4708917348
7	0.8587390263	0.4555132136
8	0.8579409417	0.4390460454
9	0.8555466879	0.4263099128
10	0.8563447725	0.4161863578
11	0.8587390263	0.4066364504
12	0.8595371109	0.3996685786
13	0.8587390263	0.392366012
14	0.8603351955	0.3861091291
15	0.8595371109	0.3784104672
16	0.8635275339	0.3727315186
17	0.8643256185	0.3653926377
18	0.8635275339	0.3577435639
19	0.8635275339	0.3541505027
20	0.8635275339	0.3495808789
21	0.8667198723	0.3456002713
22	0.8675179569	0.3397088443
23	0.8683160415	0.3346501599
24	0.8707102953	0.3281773646
25	0.8723064645	0.32332619
26	0.8723064645	0.3200388891
27	0.8699122107	0.3164209121
28	0.8731045491	0.3133565868
29	0.8715083799	0.3123413476
30	0.8747007183	0.3096964502
31	0.8754988029	0.3073519306
32	0.8770949721	0.3038247269
33	0.8786911413	0.3015573171
34	0.8786911413	0.2981094397
35	0.8802873105	0.294350395
36	0.8826815642	0.2925066754
37	0.8826815642	0.2906699215
38	0.8834796488	0.2872378752
39	0.8858739026	0.2847253506
40	0.8874700718	0.2828440259
41	0.8882681564	0.2803664516
42	0.8882681564	0.2781643148
43	0.8898643256	0.2754235051
44	0.8906624102	0.272902529
45	0.8922585794	0.2720198331
46	0.8898643256	0.26920866
47	0.893056664	0.2671271565
48	0.8946528332	0.2646824623
49	0.8954509178	0.2623166558
50	0.90103751	0.260334572
51	0.9018355946	0.2579279456
52	0.9042298484	0.2564005079
53	0.9026336792	0.2548873914
54	0.9018355946	0.2529365071
55	0.90103751	0.2514781906
56	0.9034317638	0.249540434
57	0.9042298484	0.24729246
58	0.9066241022	0.2457908149
59	0.9082202713	0.2449946057
60	0.9082202713	0.2439390336
61	0.9074221868	0.2432159399
62	0.9082202713	0.2412256726
63	0.9090183559	0.240326975
64	0.9090183559	0.2377964516
65	0.9106145251	0.2359408465
66	0.9114126097	0.2348465977
67	0.9106145251	0.2340938388
68	0.9122106943	0.233099789
69	0.9130087789	0.2314794104
70	0.9130087789	0.2309868425
71	0.9114126097	0.2288365832
72	0.9114126097	0.2280396677
73	0.9122106943	0.2271748244
74	0.9138068635	0.2267184977
75	0.9154030327	0.2244684534
76	0.9169992019	0.2229272549
77	0.9162011173	0.2220248308
78	0.9146049481	0.2214181326
79	0.9169992019	0.2206353433
80	0.9162011173	0.2193315389
81	0.9162011173	0.2185271218
82	0.9177972865	0.2177957472
83	0.9169992019	0.2167761727
84	0.9185953711	0.216159781
85	0.9185953711	0.2155280208
86	0.9193934557	0.2147928711
87	0.9201915403	0.21391188
88	0.9201915403	0.2127746923
89	0.9209896249	0.2119821608
90	0.9217877095	0.2103659226
91	0.9225857941	0.2096863037
92	0.9233838787	0.2080871387
93	0.9233838787	0.206813316
94	0.9249800479	0.2063477829
95	0.9241819633	0.205877744
96	0.9249800479	0.204918133
97	0.9249800479	0.2037574056
98	0.9241819633	0.2033263356
99	0.9257781325	0.2020120948
100	0.9265762171	0.2018455024
101	0.9265762171	0.2012289645
102	0.9257781325	0.2004324874
103	0.9257781325	0.2000399968
104	0.9273743017	0.1990365944
105	0.9281723863	0.1979380712
