iter	Passed	Remaining
0	73	73219
1	131	65761
2	199	66315
3	268	66906
4	336	67050
5	401	66589
6	470	66711
7	504	62576
8	552	60793
9	619	61339
10	684	61573
11	751	61903
12	819	62197
13	884	62317
14	933	61273
15	999	61445
16	1070	61911
17	1137	62035
18	1206	62287
19	1239	60720
20	1268	59128
21	1333	59261
22	1401	59553
23	1474	59976
24	1548	60380
25	1612	60422
26	1679	60516
27	1745	60588
28	1808	60555
29	1836	59385
30	1911	59737
31	1979	59893
32	2049	60043
33	2115	60091
34	2182	60179
35	2247	60173
36	2292	59654
37	2357	59683
38	2424	59744
39	2488	59726
40	2553	59717
41	2620	59779
42	2708	60274
43	2772	60240
44	2839	60253
45	2874	59617
46	2947	59774
47	3014	59784
48	3090	59988
49	3161	60061
50	3242	60327
51	3310	60346
52	3386	60515
53	3437	60214
54	3505	60231
55	3573	60236
56	3647	60342
57	3714	60327
58	3779	60272
59	3811	59705
60	3878	59703
61	3944	59671
62	4026	59880
63	4107	60067
64	4187	60240
65	4257	60254
66	4330	60297
67	4368	59868
68	4436	59863
69	4504	59849
70	4536	59354
71	4604	59342
72	4669	59291
73	4739	59312
74	4805	59271
75	4873	59252
76	4943	59255
77	5012	59254
78	5060	58998
79	5128	58972
80	5199	58989
81	5266	58962
82	5339	58997
83	5409	58994
84	5457	58751
85	5521	58686
86	5591	58677
87	5657	58632
88	5728	58633
89	5797	58618
90	5865	58592
91	5933	58558
92	6001	58529
93	6079	58595
94	6115	58257
95	6183	58228
96	6247	58163
97	6322	58193
98	6389	58150
99	6466	58195
100	6497	57837
101	6563	57782
102	6639	57817
103	6680	57551
104	6745	57497
105	6812	57459
106	6879	57411
107	6962	57504
108	7029	57459
109	7100	57445
110	7145	57231
111	7214	57197
112	7279	57142
113	7343	57075
114	7391	56881
115	7458	56838
116	7531	56836
117	7587	56713
118	7651	56643
119	7719	56606
120	7783	56542
121	7847	56473
122	7919	56464
123	7992	56465
124	8058	56409
125	8134	56426
126	8204	56394
127	8272	56354
128	8350	56384
129	8416	56326
130	8447	56040
131	8477	55748
132	8547	55717
133	8614	55674
134	8683	55637
135	8753	55607
136	8818	55552
137	8882	55486
138	8947	55424
139	9015	55382
140	9040	55078
141	9113	55064
142	9179	55012
143	9248	54976
144	9314	54924
145	9384	54895
146	9463	54912
147	9532	54879
148	9608	54877
149	9688	54898
150	9751	54830
151	9820	54789
152	9860	54587
153	9928	54539
154	9999	54515
155	10069	54478
156	10148	54489
157	10217	54451
158	10285	54403
159	10319	54175
160	10392	54156
161	10465	54137
162	10529	54069
163	10594	54008
164	10643	53861
165	10714	53831
166	10795	53849
167	10862	53794
168	10925	53721
169	10990	53661
170	11055	53594
171	11124	53551
172	11194	53511
173	11259	53450
174	11327	53401
175	11395	53349
176	11466	53316
177	11534	53263
178	11601	53212
179	11682	53220
180	11751	53175
181	11824	53143
182	11893	53097
183	11962	53050
184	12037	53029
185	12105	52978
186	12171	52915
187	12237	52856
188	12302	52788
189	12366	52720
190	12437	52680
191	12505	52628
192	12572	52571
193	12641	52521
194	12709	52469
195	12777	52412
196	12842	52347
197	12911	52299
198	12975	52229
199	13046	52185
200	13112	52125
201	13177	52059
202	13242	51989
203	13307	51924
204	13373	51861
205	13437	51794
206	13504	51736
207	13571	51676
208	13639	51622
209	13712	51584
210	13779	51524
211	13845	51464
212	13917	51424
213	13997	51410
214	14071	51378
215	14143	51334
216	14206	51261
217	14272	51196
218	14339	51138
219	14408	51083
220	14472	51012
221	14539	50953
222	14612	50913
223	14677	50846
224	14744	50785
225	14810	50720
226	14877	50663
227	14953	50632
228	15027	50594
229	15098	50547
230	15173	50512
231	15244	50464
232	15310	50398
233	15382	50354
234	15446	50282
235	15512	50218
236	15576	50148
237	15645	50091
238	15711	50026
239	15778	49964
240	15843	49897
241	15909	49833
242	15979	49779
243	16051	49733
244	16118	49671
245	16186	49613
246	16254	49552
247	16328	49511
248	16395	49449
249	16461	49385
250	16527	49318
251	16594	49255
252	16663	49199
253	16729	49133
254	16797	49076
255	16867	49021
256	16935	48960
257	17002	48897
258	17067	48830
259	17137	48775
260	17207	48720
261	17274	48658
262	17339	48589
263	17408	48532
264	17475	48470
265	17540	48401
266	17611	48349
267	17679	48288
268	17751	48240
269	17819	48177
270	17889	48124
271	17961	48074
272	18036	48030
273	18117	48003
274	18183	47937
275	18256	47889
276	18325	47832
277	18392	47767
278	18463	47714
279	18530	47650
280	18595	47580
281	18660	47511
282	18731	47457
283	18798	47394
284	18876	47357
285	18956	47325
286	19037	47295
287	19105	47232
288	19174	47172
289	19273	47187
290	19340	47121
291	19414	47074
292	19479	47004
293	19542	46929
294	19609	46863
295	19679	46806
296	19748	46745
297	19812	46673
298	19883	46617
299	19954	46561
300	20031	46517
301	20098	46452
302	20173	46406
303	20242	46345
304	20310	46280
305	20375	46211
306	20444	46149
307	20516	46095
308	20590	46045
309	20658	45981
310	20736	45941
311	20824	45920
312	20890	45852
313	20959	45790
314	21026	45724
315	21095	45662
316	21170	45613
317	21243	45559
318	21321	45517
319	21390	45453
320	21461	45395
321	21531	45336
322	21599	45272
323	21683	45241
324	21753	45179
325	21823	45120
326	21901	45075
327	21975	45022
328	22045	44962
329	22117	44905
330	22184	44838
331	22251	44771
332	22315	44698
333	22383	44633
334	22452	44570
335	22526	44516
336	22592	44447
337	22663	44388
338	22731	44322
339	22797	44253
340	22861	44180
341	22926	44110
342	22991	44039
343	23061	43977
344	23128	43911
345	23196	43844
